event_id,event_title,venue_name,address,latitude,longitude,date,time,repeat_day,host_name,price,prizes,age_limit,teams_max,event_url,source_preview,source_page,notes,day
5021,SpeedQuizzing Event,The Arcade,"The Arcade, 49 Mill Street, Cannock, WS11 0DR 20:00 €¢ Tuesday 6 Jan 2026Prizes, Cash Prize | £1 to play | Max 6 per team",52.68834149999999,-2.0261987,06-Jan-26,20:00,Tuesday,Brothers Sieradzki,£1 to play,Prizes,,Max 6 per team,https://www.speedquizzing.com/events/5021/,yes,yes,,3
5029,SpeedQuizzing Event,,,49.03850094699756,19.71594214439392,,,,Stanislav,,,,,https://www.speedquizzing.com/events/5029/,yes,yes,,7
5044,SpeedQuizzing Event,,,56.11648941716667,-3.936278522,,,,Adam,,Prizes,Age 18+,Max 6 per team,https://www.speedquizzing.com/events/5044/,yes,yes,,7
5069,SpeedQuizzing Event,,,39.9284469,-80.7503573,06-Jan-26,07:30,Tuesday,DJ Keith Shreve,,Prizes,,Max 4 per team,https://www.speedquizzing.com/events/5069/,yes,yes,,3
5126,SpeedQuizzing Event,The White Willow,"The White Willow, Market Way, North Petherton, Bridgwater, TA6 6DF 8pm €¢ Saturday 3 Jan 2026Prizes, £30 & £20 Bar Tabs | £2 to play | Max 8 per team | Age 18+",51.10187099790844,-3.000031687,,,,Jo,£2 to play,Prizes,Age 18+,Max 8 per team,https://www.speedquizzing.com/events/5126/,yes,yes,,7
5144,SpeedQuizzing Event,The Star,"The Star, The Star Inn, Graiseley Lane, Wolverhampton, WV11 1PE 8.00pm €¢ Thursday 8 Jan 2026Prizes, 1st - £20 Bar Tab, 2nd - £10 Bar Tab | Age 16+",52.6004142,-2.0882785,,,,Jack Craig,,Prizes,Age 16+,,https://www.speedquizzing.com/events/5144/,yes,yes,,7
5156,SpeedQuizzing Event,The Dorset Arms,"The Dorset Arms, 58 High Street, Dorset Arms, East Grinstead, RH19 3DE 20:00 €¢ Sunday 25 Jan 2026Prizes, 1st Place wins their tab! | £3 to play | Max 6 per team",51.1236286,-0.0055579,25-Jan-26,20:00,Sunday,Rob Marsh,£3 to play,Prizes,,Max 6 per team,https://www.speedquizzing.com/events/5156/,yes,yes,,1
5167,SpeedQuizzing Event,The Lion,"The Lion, Moulton, 74 Main Road, Lion Hotel, Moulton, CW9 8PB 8:30pm €¢ Saturday 3 Jan 2026£1 to play | Age 18+",53.2230046,-2.5170004,,,,Dolores Jones,£1 to play,,Age 18+,,https://www.speedquizzing.com/events/5167/,yes,yes,,7
5175,SpeedQuizzing Event,,,39.9170602,-80.7475006,05-Jan-26,07:00,Monday,DJ Keith Shreve,,Prizes,Age 21+,,https://www.speedquizzing.com/events/5175/,yes,yes,,2
5219,SpeedQuizzing Event,Fulwood Arms,"Fulwood Arms, 308 Aigburth Road, Liverpool, L17 9PW 7:30pm €¢ Tuesday 6 Jan 2026",53.3746654,-2.9383404,,,,Emma Davies,,,,,https://www.speedquizzing.com/events/5219/,yes,yes,,7
5249,SpeedQuizzing Event,,,37.27008,-76.7059797,,,,Matt Chambers,,Prizes,Age 21+,Max 5 per team,https://www.speedquizzing.com/events/5249/,yes,yes,,7
5256,SpeedQuizzing Event,,,41.3790487,-81.7347174,06-Jan-26,07:00,Tuesday,Bob Varga,,,,,https://www.speedquizzing.com/events/5256/,yes,yes,,3
